u,k,Dist_uk
97,7,6030
97,8,7030
97,9,8030
97,10,9030
98,0,980
98,1,20
98,2,1020
98,3,2020
98,4,3020
98,5,4020
98,6,5020
98,7,6020
98,8,7020
98,9,8020
98,10,9020
99,0,990
99,1,10
99,2,1010
99,3,2010
99,4,3010
99,5,4010
99,6,5010
99,7,6010
99,8,7010
99,9,8010
99,10,9010
100,0,1000
100,1,10
100,2,1000
100,3,2000
100,4,3000
100,5,4000
100,6,5000
100,7,6000
100,8,7000
100,9,8000
100,10,9000
101,0,1010
101,1,10
101,2,990
101,3,1990
101,4,2990
101,5,3990
101,6,4990
101,7,5990
101,8,6990
101,9,7990
101,10,8990
102,0,1020
102,1,20
102,2,980
102,3,1980
102,4,2980
102,5,3980
102,6,4980
102,7,5980
102,8,6980
102,9,7980
102,10,8980
103,0,1030
103,1,30
103,2,970
103,3,1970
103,4,2970
103,5,3970
103,6,4970
103,7,5970
103,8,6970
103,9,7970
103,10,8970
104,0,1040
104,1,40
104,2,960
104,3,1960
104,4,2960
104,5,3960
104,6,4960
104,7,5960
104,8,6960
104,9,7960
104,10,8960
105,0,1050
105,1,50
105,2,950
105,3,1950
105,4,2950
105,5,3950
105,6,4950
105,7,5950
105,8,6950
105,9,7950
105,10,8950
106,0,1060
106,1,60
106,2,940
106,3,1940
106,4,2940
106,5,3940
106,6,4940
106,7,5940
106,8,6940
106,9,7940
106,10,8940
107,0,1070
107,1,70
107,2,930
107,3,1930
107,4,2930
107,5,3930
107,6,4930
107,7,5930
107,8,6930
107,9,7930
107,10,8930
108,0,1080
108,1,80
108,2,920
108,3,1920
108,4,2920
108,5,3920
108,6,4920
108,7,5920
108,8,6920
108,9,7920
108,10,8920
109,0,1090
109,1,90
109,2,910
109,3,1910
109,4,2910
109,5,3910
109,6,4910
109,7,5910
109,8,6910
109,9,7910
109,10,8910
110,0,1100
110,1,100
110,2,900
110,3,1900
110,4,2900
110,5,3900
110,6,4900
110,7,5900
110,8,6900
110,9,7900
110,10,8900
111,0,1110
111,1,110
111,2,890
111,3,1890
111,4,2890
111,5,3890
111,6,4890
111,7,5890
111,8,6890
111,9,7890
111,10,8890
112,0,1120
112,1,120
112,2,880
112,3,1880
112,4,2880
112,5,3880
112,6,4880
112,7,5880
112,8,6880
112,9,7880
112,10,8880
113,0,1130
113,1,130
113,2,870
113,3,1870
113,4,2870
113,5,3870
113,6,4870
113,7,5870
113,8,6870
113,9,7870
113,10,8870
114,0,1140
114,1,140
114,2,860
114,3,1860
114,4,2860
114,5,3860
114,6,4860
114,7,5860
114,8,6860
114,9,7860
114,10,8860
115,0,1150
115,1,150
115,2,850
115,3,1850
115,4,2850
115,5,3850
115,6,4850
115,7,5850
115,8,6850
115,9,7850
115,10,8850
116,0,1160
116,1,160
116,2,840
116,3,1840
116,4,2840
116,5,3840
116,6,4840
116,7,5840
116,8,6840
116,9,7840
116,10,8840
117,0,1170
117,1,170
117,2,830
117,3,1830
117,4,2830
117,5,3830
117,6,4830
117,7,5830
117,8,6830
117,9,7830
117,10,8830
118,0,1180
118,1,180
118,2,820
118,3,1820
118,4,2820
118,5,3820
118,6,4820
118,7,5820
118,8,6820
118,9,7820
118,10,8820
119,0,1190
119,1,190
119,2,810
119,3,1810
119,4,2810
119,5,3810
119,6,4810
119,7,5810
119,8,6810
119,9,7810
119,10,8810
120,0,1200
120,1,200
120,2,800
120,3,1800
120,4,2800
120,5,3800
120,6,4800
120,7,5800
120,8,6800
120,9,7800
120,10,8800
121,0,1210
121,1,210
121,2,790
121,3,1790
121,4,2790
121,5,3790
121,6,4790
121,7,5790
121,8,6790
121,9,7790
121,10,8790
122,0,1220
122,1,220
122,2,780
122,3,1780
122,4,2780
122,5,3780
122,6,4780
122,7,5780
122,8,6780
122,9,7780
122,10,8780
123,0,1230
123,1,230
123,2,770
123,3,1770
123,4,2770
123,5,3770
123,6,4770
123,7,5770
123,8,6770
123,9,7770
123,10,8770
124,0,1240
124,1,240
124,2,760
124,3,1760
124,4,2760
124,5,3760
124,6,4760
124,7,5760
124,8,6760
124,9,7760
124,10,8760
125,0,1250
125,1,250
125,2,750
125,3,1750
125,4,2750
125,5,3750
125,6,4750
125,7,5750
125,8,6750
125,9,7750
125,10,8750
126,0,1260
126,1,260
126,2,740
126,3,1740
126,4,2740
126,5,3740
126,6,4740
126,7,5740
126,8,6740
126,9,7740
126,10,8740
127,0,1270
127,1,270
127,2,730
127,3,1730
127,4,2730
127,5,3730
127,6,4730
127,7,5730
127,8,6730
127,9,7730
127,10,8730
128,0,1280
128,1,280
128,2,720
128,3,1720
128,4,2720
128,5,3720
128,6,4720
128,7,5720
128,8,6720
128,9,7720
128,10,8720
129,0,1290
129,1,290
129,2,710
129,3,1710
129,4,2710
129,5,3710
129,6,4710
129,7,5710
129,8,6710
129,9,7710
129,10,8710
130,0,1300
130,1,300
130,2,700
130,3,1700
130,4,2700
130,5,3700
130,6,4700
130,7,5700
130,8,6700
130,9,7700
130,10,8700
131,0,1310
131,1,310
131,2,690
131,3,1690
131,4,2690
131,5,3690
131,6,4690
131,7,5690
131,8,6690
131,9,7690
131,10,8690
132,0,1320
132,1,320
132,2,680
132,3,1680
132,4,2680
132,5,3680
132,6,4680
132,7,5680
132,8,6680
132,9,7680
132,10,8680
133,0,1330
133,1,330
133,2,670
133,3,1670
133,4,2670
133,5,3670
133,6,4670
133,7,5670
133,8,6670
133,9,7670
133,10,8670
134,0,1340
134,1,340
134,2,660
134,3,1660
134,4,2660
134,5,3660
134,6,4660
134,7,5660
134,8,6660
134,9,7660
134,10,8660
135,0,1350
135,1,350
135,2,650
135,3,1650
135,4,2650
135,5,3650
135,6,4650
135,7,5650
135,8,6650
135,9,7650
135,10,8650
136,0,1360
136,1,360
136,2,640
136,3,1640
136,4,2640
136,5,3640
136,6,4640
136,7,5640
136,8,6640
136,9,7640
136,10,8640
137,0,1370
137,1,370
137,2,630
137,3,1630
137,4,2630
137,5,3630
137,6,4630
137,7,5630
137,8,6630
137,9,7630
137,10,8630
138,0,1380
138,1,380
138,2,620
138,3,1620
138,4,2620
138,5,3620
138,6,4620
138,7,5620
138,8,6620
138,9,7620
138,10,8620
139,0,1390
139,1,390
139,2,610
139,3,1610
139,4,2610
139,5,3610
139,6,4610
139,7,5610
139,8,6610
139,9,7610
139,10,8610
140,0,1400
140,1,400
140,2,600
140,3,1600
140,4,2600
140,5,3600
140,6,4600
140,7,5600
140,8,6600
140,9,7600
140,10,8600
141,0,1410
141,1,410
141,2,590
141,3,1590
141,4,2590
141,5,3590
141,6,4590
141,7,5590
141,8,6590
141,9,7590
141,10,8590
142,0,1420
142,1,420
142,2,580
142,3,1580
142,4,2580
142,5,3580
142,6,4580
142,7,5580
142,8,6580
142,9,7580
142,10,8580
143,0,1430
143,1,430
143,2,570
143,3,1570
143,4,2570
143,5,3570
143,6,4570
143,7,5570
143,8,6570
143,9,7570
143,10,8570
144,0,1440
144,1,440
144,2,560
144,3,1560
144,4,2560
144,5,3560
144,6,4560
144,7,5560
144,8,6560
144,9,7560
144,10,8560
145,0,1450
145,1,450
145,2,550
145,3,1550
145,4,2550
145,5,3550
145,6,4550
145,7,5550
145,8,6550
145,9,7550
145,10,8550
146,0,1460
146,1,460
146,2,540
146,3,1540
146,4,2540
146,5,3540
146,6,4540
146,7,5540
146,8,6540
146,9,7540
146,10,8540
147,0,1470
147,1,470
147,2,530
147,3,1530
147,4,2530
147,5,3530
147,6,4530
147,7,5530
147,8,6530
147,9,7530
147,10,8530
148,0,1480
148,1,480
148,2,520
148,3,1520
148,4,2520
148,5,3520
148,6,4520
148,7,5520
148,8,6520
148,9,7520
148,10,8520
149,0,1490
149,1,490
149,2,510
149,3,1510
149,4,2510
149,5,3510
149,6,4510
149,7,5510
149,8,6510
149,9,7510
149,10,8510
150,0,1500
150,1,500
150,2,500
150,3,1500
150,4,2500
150,5,3500
150,6,4500
150,7,5500
150,8,6500
150,9,7500
150,10,8500
151,0,1510
151,1,510
151,2,490
151,3,1490
151,4,2490
151,5,3490
151,6,4490
151,7,5490
151,8,6490
151,9,7490
151,10,8490
152,0,1520
152,1,520
152,2,480
152,3,1480
152,4,2480
152,5,3480
152,6,4480
152,7,5480
152,8,6480
152,9,7480
152,10,8480
153,0,1530
153,1,530
153,2,470
153,3,1470
153,4,2470
153,5,3470
153,6,4470
153,7,5470
153,8,6470
153,9,7470
153,10,8470
154,0,1540
154,1,540
154,2,460
154,3,1460
154,4,2460
154,5,3460
154,6,4460
154,7,5460
154,8,6460
154,9,7460
154,10,8460
155,0,1550
155,1,550
155,2,450
155,3,1450
155,4,2450
155,5,3450
155,6,4450
155,7,5450
155,8,6450
155,9,7450
155,10,8450
156,0,1560
156,1,560
156,2,440
156,3,1440
156,4,2440
156,5,3440
156,6,4440
156,7,5440
156,8,6440
156,9,7440
156,10,8440
157,0,1570
157,1,570
157,2,430
157,3,1430
157,4,2430
157,5,3430
157,6,4430
157,7,5430
157,8,6430
157,9,7430
157,10,8430
158,0,1580
158,1,580
158,2,420
158,3,1420
158,4,2420
158,5,3420
158,6,4420
158,7,5420
158,8,6420
158,9,7420
158,10,8420
159,0,1590
159,1,590
159,2,410
159,3,1410
159,4,2410
159,5,3410
159,6,4410
159,7,5410
159,8,6410
159,9,7410
159,10,8410
160,0,1600
160,1,600
160,2,400
160,3,1400
160,4,2400
160,5,3400
160,6,4400
160,7,5400
160,8,6400
160,9,7400
160,10,8400
161,0,1610
161,1,610
161,2,390
161,3,1390
161,4,2390
161,5,3390
161,6,4390
161,7,5390
161,8,6390
161,9,7390
161,10,8390
162,0,1620
162,1,620
162,2,380
162,3,1380
162,4,2380
162,5,3380
162,6,4380
162,7,5380
162,8,6380
162,9,7380
162,10,8380
163,0,1630
163,1,630
163,2,370
163,3,1370
163,4,2370
163,5,3370
163,6,4370
163,7,5370
163,8,6370
163,9,7370
163,10,8370
164,0,1640
164,1,640
164,2,360
164,3,1360
164,4,2360
164,5,3360
164,6,4360
164,7,5360
164,8,6360
164,9,7360
164,10,8360
165,0,1650
165,1,650
165,2,350
165,3,1350
165,4,2350
165,5,3350
165,6,4350
165,7,5350
165,8,6350
165,9,7350
165,10,8350
166,0,1660
166,1,660
166,2,340
166,3,1340
166,4,2340
166,5,3340
166,6,4340
166,7,5340
166,8,6340
166,9,7340
166,10,8340
167,0,1670
167,1,670
167,2,330
167,3,1330
167,4,2330
167,5,3330
167,6,4330
167,7,5330
167,8,6330
167,9,7330
167,10,8330
168,0,1680
168,1,680
168,2,320
168,3,1320
168,4,2320
168,5,3320
168,6,4320
168,7,5320
168,8,6320
168,9,7320
168,10,8320
169,0,1690
169,1,690
169,2,310
169,3,1310
169,4,2310
169,5,3310
169,6,4310
169,7,5310
169,8,6310
169,9,7310
169,10,8310
170,0,1700
170,1,700
170,2,300
170,3,1300
170,4,2300
170,5,3300
170,6,4300
170,7,5300
170,8,6300
170,9,7300
170,10,8300
171,0,1710
171,1,710
171,2,290
171,3,1290
171,4,2290
171,5,3290
171,6,4290
171,7,5290
171,8,6290
171,9,7290
171,10,8290
172,0,1720
172,1,720
172,2,280
172,3,1280
172,4,2280
172,5,3280
172,6,4280
172,7,5280
172,8,6280
172,9,7280
172,10,8280
173,0,1730
173,1,730
173,2,270
173,3,1270
173,4,2270
173,5,3270
173,6,4270
173,7,5270
173,8,6270
173,9,7270
173,10,8270
174,0,1740
174,1,740
174,2,260
174,3,1260
174,4,2260
174,5,3260
174,6,4260
174,7,5260
174,8,6260
174,9,7260
174,10,8260
175,0,1750
175,1,750
175,2,250
175,3,1250
175,4,2250
175,5,3250
175,6,4250
175,7,5250
175,8,6250
175,9,7250
175,10,8250
176,0,1760
176,1,760
176,2,240
176,3,1240
176,4,2240
176,5,3240
176,6,4240
176,7,5240
176,8,6240
176,9,7240
176,10,8240
177,0,1770
177,1,770
177,2,230
177,3,1230
177,4,2230
177,5,3230
177,6,4230
177,7,5230
177,8,6230
177,9,7230
177,10,8230
178,0,1780
178,1,780
178,2,220
178,3,1220
178,4,2220
178,5,3220
178,6,4220
178,7,5220
178,8,6220
178,9,7220
178,10,8220
179,0,1790
179,1,790
179,2,210
179,3,1210
179,4,2210
179,5,3210
179,6,4210
179,7,5210
179,8,6210
179,9,7210
179,10,8210
180,0,1800
180,1,800
180,2,200
180,3,1200
180,4,2200
180,5,3200
180,6,4200
180,7,5200
180,8,6200
180,9,7200
180,10,8200
181,0,1810
181,1,810
181,2,190
181,3,1190
181,4,2190
181,5,3190
181,6,4190
181,7,5190
181,8,6190
181,9,7190
181,10,8190
182,0,1820
182,1,820
182,2,180
182,3,1180
182,4,2180
182,5,3180
182,6,4180
182,7,5180
182,8,6180
182,9,7180
182,10,8180
183,0,1830
183,1,830
183,2,170
183,3,1170
183,4,2170
183,5,3170
183,6,4170
183,7,5170
183,8,6170
183,9,7170
183,10,8170
184,0,1840
184,1,840
184,2,160
184,3,1160
184,4,2160
184,5,3160
184,6,4160
184,7,5160
184,8,6160
184,9,7160
184,10,8160
185,0,1850
185,1,850
185,2,150
185,3,1150
185,4,2150
185,5,3150
185,6,4150
185,7,5150
185,8,6150
185,9,7150
185,10,8150
186,0,1860
186,1,860
186,2,140
186,3,1140
